study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB2743	ERP000991	SAMEA1322915	ERS070240	ERX030882	ERR053834	33444	Heliconius elevatus	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053834/ERR053834_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053834/ERR053834_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053834/ERR053834_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053834/ERR053834_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_lib2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_lib2_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322915	ERS070240	ERX030883	ERR053835	33444	Heliconius elevatus	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053835/ERR053835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053835/ERR053835_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053835/ERR053835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053835/ERR053835_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_101101_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_101101_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_101101_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Elevatus_09-342_101101_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322907	ERS070241	ERX030884	ERR053836	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053836/ERR053836_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053836/ERR053836_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053836/ERR053836_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053836/ERR053836_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322907	ERS070241	ERX030885	ERR053837	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053837/ERR053837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053837/ERR053837_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053837/ERR053837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053837/ERR053837_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-22_110614_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322930	ERS070242	ERX030886	ERR053838	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053838/ERR053838_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053838/ERR053838_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053838/ERR053838_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053838/ERR053838_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322930	ERS070242	ERX030887	ERR053839	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053839/ERR053839_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053839/ERR053839_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053839/ERR053839_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053839/ERR053839_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110614_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-58_110614_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322860	ERS070243	ERX030888	ERR053840	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053840/ERR053840_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053840/ERR053840_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053840/ERR053840_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053840/ERR053840_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110408_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322860	ERS070243	ERX030889	ERR053841	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053841/ERR053841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053841/ERR053841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053841/ERR053841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053841/ERR053841_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110614_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110614_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-188_110614_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322881	ERS070265	ERX030890	ERR053842	1109110	Heliconius pardalinus butleri	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053842/ERR053842_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053842/ERR053842_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053842/ERR053842_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053842/ERR053842_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_100927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_100927_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322881	ERS070265	ERX030891	ERR053843	1109110	Heliconius pardalinus butleri	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053843/ERR053843_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053843/ERR053843_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053843/ERR053843_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053843/ERR053843_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_lib2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_lib2_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322881	ERS070265	ERX030892	ERR053844	1109110	Heliconius pardalinus butleri	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053844/ERR053844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053844/ERR053844_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053844/ERR053844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053844/ERR053844_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_101101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_101101_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_101101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-346_101101_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322898	ERS070244	ERX030893	ERR053845	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053845/ERR053845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053845/ERR053845_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053845/ERR053845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053845/ERR053845_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_100927_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_100927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_100927_2.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322898	ERS070244	ERX030894	ERR053846	441047	Heliconius ethilla aerotome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053846/ERR053846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053846/ERR053846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053846/ERR053846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053846/ERR053846_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_lib2_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_lib2_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_lib2_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_lib2_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322898	ERS070244	ERX030895	ERR053847	441047	Heliconius ethilla aerotome	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053847/ERR053847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053847/ERR053847_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053847/ERR053847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053847/ERR053847_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_101101_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_101101_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_101101_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Ethilla_09-200_101101_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322864	ERS070246	ERX030896	ERR053848	1109113	Heliconius timareta ssp. JD-2011	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053848/ERR053848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053848/ERR053848_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053848/ERR053848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053848/ERR053848_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_100927_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_100927_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_100927_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_100927_1.fastq.gz		
PRJEB2743	ERP000991	SAMEA1322864	ERS070246	ERX030897	ERR053849	1109113	Heliconius timareta ssp. JD-2011	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053849/ERR053849_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053849/ERR053849_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053849/ERR053849_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR053/ERR053849/ERR053849_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_lib2_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_lib2_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA066/ERA066292/fastq/Timareta-Peru_09-231_lib2_2.fastq.gz		
