BioSample_s	Experiment_s	Library_Name_s	MBases_l	MBytes_l	Organism_s	Run_s	SRA_Sample_s	Sample_Name_s	sex_s	strain_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Platform_s	ReleaseDate_s	SRA_Study_s	age_s	dev_stage_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	tissue_s
SAMN04233203	SRX1425845	DEVaeq_f	193	168	Devario aequipinnatus	SRR2912279	SRS1158099	DEVaeq_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233204	SRX1425846	DEVpat_f	204	178	Devario pathirana	SRR2912280	SRS1158098	DEVpat_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233205	SRX1425847	DEVpat_m	228	199	Devario pathirana	SRR2912281	SRS1158097	DEVpat_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233206	SRX1425848	Dfee_f	194	168	Danio feegradei	SRR2912282	SRS1158096	Dfee_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233207	SRX1425849	Dfee_m	232	201	Danio feegradei	SRR2912283	SRS1158095	Dfee_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233208	SRX1425850	Dker_f	274	238	Danio kerri	SRR2912284	SRS1158094	Dker_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233209	SRX1425851	Dker_m	290	252	Danio kerri	SRR2912285	SRS1158093	Dker_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233210	SRX1425852	Dkya_spo_f	294	255	Danio kyathit	SRR2912286	SRS1158092	Dkya_spo_f	female	spotted	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233211	SRX1425853	Dkya_spo_m	211	184	Danio kyathit	SRR2912287	SRS1158091	Dkya_spo_m	male	spotted	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233212	SRX1425854	Dkya_str_f	273	237	Danio kyathit	SRR2912288	SRS1158090	Dkya_str_f	female	striped	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233213	SRX1425855	Dkya_str_m	250	217	Danio kyathit	SRR2912289	SRS1158089	Dkya_str_m	male	striped	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233214	SRX1425856	DLAtra_f	292	255	Danionella translucida	SRR2912290	SRS1158087	DLAtra_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233215	SRX1425857	DLAtra_m	216	188	Danionella translucida	SRR2912291	SRS1158088	DLAtra_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233216	SRX1425858	Dmar_f	267	232	Danio margaritatus	SRR2912292	SRS1158086	Dmar_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233217	SRX1425859	Dmar_m	276	240	Danio margaritatus	SRR2912293	SRS1158085	Dmar_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233218	SRX1425860	Dnig_f	232	201	Danio nigrofasciatus	SRR2912294	SRS1158083	Dnig_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233219	SRX1425861	Dnig_m	198	172	Danio nigrofasciatus	SRR2912295	SRS1158084	Dnig_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233220	SRX1425862	Drer_AB_f	228	199	Danio rerio	SRR2912296	SRS1158082	Drer_AB_f	female	AB	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233221	SRX1425863	Drer_AB_m	760	661	Danio rerio	SRR2912297	SRS1158081	Drer_AB_m	male	AB	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233222	SRX1425864	Drer_Nad_f	244	211	Danio rerio	SRR2912298	SRS1158080	Drer_Nad_f	female	Nadia	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233223	SRX1425865	Drer_Tub_f	237	202	Danio rerio	SRR2912299	SRS1158079	Drer_Tub_f	female	Tubingen	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233224	SRX1425866	Drer_Tub_m	178	155	Danio rerio	SRR2912300	SRS1158078	Drer_Tub_m	male	Tubingen	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233225	SRX1425867	Drer_WIK_f	259	226	Danio rerio	SRR2912301	SRS1158076	Drer_WIK_f	female	WIK	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233226	SRX1425868	Drer_WIK_m	273	237	Danio rerio	SRR2912302	SRS1158077	Drer_WIK_m	male	WIK	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233227	SRX1425869	Dtin_q	628	520	Danio tinwini	SRR2912303	SRS1158075	Dtin_q	unknown	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233228	SRX1425870	MICkub_f	202	176	Microdevario kubotai	SRR2912304	SRS1158074	MICkub_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233229	SRX1425871	MICkub_m	190	165	Microdevario kubotai	SRR2912305	SRS1158073	MICkub_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233230	SRX1425872	RASesp_q	288	251	Trigonostigma espei	SRR2912306	SRS1158072	RASesp_q	unknown	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233231	SRX1425873	RASmac_q	265	231	Boraras maculatus	SRR2912307	SRS1158070	RASmac_q	unknown	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233232	SRX1425874	SUNaxe_f	269	234	Sundadanio axelrodi	SRR2912308	SRS1158071	SUNaxe_f	female	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
SAMN04233233	SRX1425875	SUNaxe_m	349	304	Sundadanio axelrodi	SRR2912309	SRS1158069	SUNaxe_m	male	not applicable	OTHER	<not provided>	PRJNA299298	Model organism or animal	UNIVERSITY OF OREGON	public	0	SINGLE	Reduced Representation	GENOMIC	Nov 10, 2015	ILLUMINA	Nov 11, 2015	SRP065811	Unknown	Adult	<not provided>	<not provided>	<not provided>	Caudal Fin
